ngram,freq,cumshare
yellow,4582814,0.790
ended,4578057,0.790
center,4574046,0.790
join,4569262,0.790
missing,4558814,0.790
Christmas,4551849,0.790
suit,4543785,0.790
store,4541877,0.791
relationship,4536188,0.791
French,4532011,0.791
peace,4526054,0.791
growing,4522282,0.791
noise,4513064,0.791
finding,4512022,0.791
hat,4511923,0.791
gotten,4509505,0.791
handle,4508291,0.791
ye,4497873,0.791
interested,4494959,0.791
truly,4494663,0.791
faces,4494545,0.792
dance,4491903,0.792
fucking,4484569,0.792
bent,4475709,0.792
hanging,4464542,0.792
necessary,4460698,0.792
forehead,4457992,0.792
month,4455804,0.792
listening,4449801,0.792
forgotten,4445710,0.792
length,4445301,0.792
definitely,4444254,0.792
carry,4439793,0.792
knife,4437329,0.792
complete,4435514,0.793
spend,4432615,0.793
frowned,4431843,0.793
contact,4430189,0.793
lower,4427454,0.793
allow,4427211,0.793
marry,4424854,0.793
security,4419970,0.793
wondering,4418587,0.793
fellow,4415072,0.793
gate,4414772,0.793
fallen,4412106,0.793
pleased,4410438,0.793
rich,4402349,0.794
stuck,4397143,0.794
trip,4395149,0.794
nine,4387512,0.794
ball,4386468,0.794
date,4372454,0.794
fighting,4365848,0.794
ordered,4357945,0.794
energy,4357423,0.794
hate,4349317,0.794
letting,4349171,0.794
murder,4343597,0.794
heads,4333447,0.794
hill,4331568,0.794
forth,4326129,0.795
breathing,4324929,0.795
bill,4324384,0.795
careful,4316450,0.795
knowledge,4315723,0.795
moon,4300227,0.795
cell,4298761,0.795
normal,4289588,0.795
prepared,4288665,0.795
common,4274957,0.795
beauty,4265942,0.795
built,4263180,0.795
forest,4251555,0.795
shock,4242454,0.796
promised,4240220,0.796
board,4237711,0.796
dangerous,4232301,0.796
welcome,4231999,0.796
mad,4224520,0.796
listened,4219373,0.796
involved,4218013,0.796
driver,4217232,0.796
screen,4215850,0.796
suggested,4214927,0.796
yesterday,4211026,0.796
hearing,4199770,0.796
perfectly,4199006,0.796
bank,4197213,0.797
danger,4193199,0.797
sleeping,4178441,0.797
soldiers,4173215,0.797
natural,4172509,0.797
shoes,4166497,0.797
lines,4154823,0.797
enjoy,4151922,0.797
directly,4149971,0.797
grin,4147454,0.797
shadow,4144864,0.797
waved,4143257,0.797
lit,4141347,0.797
opposite,4132682,0.797
snapped,4130100,0.797
forever,4129570,0.798
hidden,4124136,0.798
metal,4121422,0.798
possibly,4120249,0.798
names,4114137,0.798
final,4104558,0.798
bathroom,4094361,0.798
eventually,4092895,0.798
discovered,4092393,0.798
local,4085250,0.798
lucky,4082645,0.798
surface,4075681,0.798
search,4073769,0.798
admit,4071850,0.798
joined,4069457,0.799
willing,4069094,0.799
list,4068202,0.799
bought,4065965,0.799
entrance,4054413,0.799
flesh,4052913,0.799
starting,4049235,0.799
lovely,4043786,0.799
scared,4043387,0.799
grown,4042068,0.799
approached,4040162,0.799
effort,4034740,0.799
mirror,4032100,0.799
camp,4030933,0.799
leaves,4025748,0.799
twice,4023841,0.800
winter,4019087,0.800
reminded,4016280,0.800
checked,4016085,0.800
concerned,4014858,0.800
joy,4012280,0.800
hole,4011612,0.800
press,4007518,0.800
frank,4005280,0.800
particular,3998386,0.800
entirely,3988676,0.800
sad,3987631,0.800
powerful,3984475,0.800
sigh,3975687,0.800
pink,3971242,0.801
wanting,3970727,0.801
evidence,3963604,0.801
