ngram,rank,freq,cumshare
return,561,39229443,0.512
note,562,39155113,0.512
longer,563,39099654,0.512
understanding,564,39036324,0.512
start,565,38934912,0.512
run,566,38921466,0.512
associated,567,38684858,0.513
special,568,38668303,0.513
job,569,38559351,0.513
physical,570,38554688,0.513
north,571,38422379,0.513
lot,572,38404549,0.513
coming,573,38364921,0.513
maybe,574,38305870,0.514
feet,575,38302616,0.514
countries,576,38281692,0.514
account,577,38281603,0.514
cost,578,38272162,0.514
whose,579,38252360,0.514
series,580,38216969,0.514
growth,581,38102651,0.515
activity,582,37929117,0.515
rest,583,37889160,0.515
car,584,37817296,0.515
lost,585,37790149,0.515
art,586,37773770,0.515
alone,587,37699878,0.515
potential,588,37618738,0.516
cause,589,37582847,0.516
getting,590,37538726,0.516
decision,591,37536171,0.516
issues,592,37359829,0.516
friends,593,37336923,0.516
increase,594,37311228,0.516
myself,595,37287332,0.517
minutes,596,37268623,0.517
near,597,37239742,0.517
hours,598,37204138,0.517
provided,599,37182850,0.517
stood,600,36929666,0.517
material,601,36926825,0.517
lower,602,36792630,0.518
actually,603,36759755,0.518
patient,604,36690204,0.518
quality,605,36657134,0.518
simply,606,36635788,0.518
content,607,36629501,0.518
source,608,36584168,0.518
paper,609,36463821,0.518
step,610,36437070,0.519
significant,611,36198916,0.519
surface,612,36197287,0.519
hair,613,36186376,0.519
six,614,36180489,0.519
areas,615,36131458,0.519
deep,616,36126903,0.519
fire,617,36097230,0.520
bed,618,36093974,0.520
hear,619,36022565,0.520
central,620,35962229,0.520
friend,621,35897707,0.520
towards,622,35886255,0.520
sound,623,35866149,0.520
try,624,35852856,0.521
financial,625,35850873,0.521
tried,626,35822973,0.521
beyond,627,35806861,0.521
dark,628,35763929,0.521
cultural,629,35666051,0.521
stop,630,35653459,0.521
range,631,35598073,0.521
size,632,35316871,0.522
percent,633,35300502,0.522
girl,634,35119279,0.522
remember,635,35043274,0.522
disease,636,35013323,0.522
situation,637,35008514,0.522
continued,638,35001458,0.522
seems,639,34995306,0.522
middle,640,34918925,0.523
indeed,641,34896740,0.523
private,642,34870835,0.523
gone,643,34815239,0.523
population,644,34719701,0.523
months,645,34715697,0.523
cells,646,34669655,0.523
activities,647,34628885,0.524
difficult,648,34598784,0.524
followed,649,34595572,0.524
Jesus,650,34563878,0.524
parents,651,34426574,0.524
pain,652,34350199,0.524
sat,653,34332254,0.524
described,654,34249503,0.524
British,655,34111523,0.525
bring,656,34095732,0.525
wife,657,34008238,0.525
earth,658,33938132,0.525
everyone,659,33888941,0.525
property,660,33882426,0.525
image,661,33832495,0.525
consider,662,33804894,0.525
levels,663,33780479,0.526
bad,664,33559366,0.526
hope,665,33554913,0.526
amount,666,33522044,0.526
below,667,33507843,0.526
center,668,33430620,0.526
writing,669,33345425,0.526
written,670,33290684,0.526
modern,671,33109775,0.527
dead,672,33108594,0.527
addition,673,33103168,0.527
arms,674,33079166,0.527
greater,675,33038241,0.527
technology,676,32959957,0.527
truth,677,32933391,0.527
access,678,32923684,0.527
poor,679,32900062,0.528
movement,680,32890248,0.528
shows,681,32801843,0.528
hold,682,32730766,0.528
feeling,683,32702207,0.528
focus,684,32673941,0.528
European,685,32666430,0.528
music,686,32663813,0.528
road,687,32647124,0.529
increased,688,32634893,0.529
simple,689,32634483,0.529
street,690,32592461,0.529
resources,691,32588799,0.529
nor,692,32563590,0.529
global,693,32561673,0.529
text,694,32542095,0.529
lead,695,32436527,0.530
kept,696,32301939,0.530
factors,697,32301378,0.530
training,698,32300900,0.530
trade,699,32256136,0.530
department,700,32246752,0.530
environment,701,32245325,0.530
town,702,32243217,0.530
methods,703,32061888,0.531
developed,704,32032608,0.531
news,705,32006601,0.531
led,706,31987469,0.531
involved,707,31900284,0.531
particularly,708,31867266,0.531
quickly,709,31837037,0.531
moved,710,31790110,0.531
books,711,31765606,0.531
positive,712,31629391,0.532
standard,713,31624554,0.532
