ngram,freq,share,cumshare,rank
monsieur,5921544,0.0002,0.6238,398
ta,5905760,0.0002,0.624,399
début,5877803,0.0002,0.6242,400
développement,5876211,0.0002,0.6244,401
sorte,5871928,0.0002,0.6246,402
grâce,5834132,0.0002,0.6248,403
quelle,5829452,0.0002,0.625,404
veut,5796386,0.0002,0.6252,405
dix,5793729,0.0002,0.6254,406
retour,5790101,0.0002,0.6256,407
font,5777800,0.0002,0.6258,408
vais,5775161,0.0002,0.626,409
donne,5763635,0.0002,0.6262,410
simple,5761832,0.0002,0.6264,411
fond,5756383,0.0002,0.6266,412
demanda,5745089,0.0002,0.6268,413
présent,5734890,0.0002,0.627,414
peux,5734048,0.0002,0.6272,415
sourire,5723802,0.0002,0.6274,416
bout,5715045,0.0002,0.6276,417
chacun,5713862,0.0002,0.6278,418
malgré,5711863,0.0002,0.628,419
tandis,5700254,0.0002,0.6282,420
rendre,5697206,0.0002,0.6284,421
époque,5694985,0.0002,0.6286,422
peur,5657157,0.0002,0.6288,423
parents,5644516,0.0002,0.629,424
table,5644110,0.0002,0.6292,425
public,5632195,0.0002,0.6294,426
passe,5621136,0.0002,0.6296,427
belle,5613229,0.0002,0.6298,428
chapitre,5602886,0.0002,0.63,429
recherche,5592255,0.0002,0.6302,430
entreprise,5553141,0.0002,0.6304,431
parmi,5551811,0.0002,0.6306,432
vite,5515991,0.0002,0.6308,433
rôle,5511856,0.0002,0.631,434
matin,5507550,0.0002,0.6312,435
dis,5499980,0.0002,0.6314,436
vient,5492236,0.0002,0.6316,437
dernière,5480827,0.0002,0.6317,438
allait,5477242,0.0002,0.6319,439
centre,5476294,0.0002,0.6321,440
donné,5436818,0.0002,0.6323,441
comprendre,5435840,0.0002,0.6325,442
espace,5421475,0.0002,0.6327,443
voilà,5389121,0.0002,0.6329,444
présence,5367066,0.0002,0.6331,445
répondit,5347359,0.0002,0.6333,446
conseil,5326573,0.0002,0.6334,447
réalité,5323700,0.0002,0.6336,448
choix,5321104,0.0002,0.6338,449
